Bin,PD_count,Normal_count,PD_pct,Normal_pct,Ratio_PD_to_Normal
"[68.0, 110.0]",0,142,0.0,4.487989886219975,0.0
"[110.0, 120.0]",17,161,14.782608695652174,5.0884955752212395,0.10559006211180125
"[120.0, 125.0]",16,99,13.91304347826087,3.1289506953223767,0.16161616161616163
"[125.0, 130.0]",1,136,0.8695652173913043,4.298356510745891,0.007352941176470588
"[130.0, 140.0]",24,217,20.869565217391305,6.8584070796460175,0.11059907834101383
"[140.0, 145.0]",0,155,0.0,4.898862199747155,0.0
"[145.0, 150.0]",0,130,0.0,4.108723135271807,0.0
"[150.0, 155.0]",1,173,0.8695652173913043,5.467762326169406,0.005780346820809248
"[155.0, 160.0]",1,173,0.8695652173913043,5.467762326169406,0.005780346820809248
"[160.0, 165.0]",3,156,2.608695652173913,4.9304677623261695,0.019230769230769232
"[165.0, 170.0]",24,132,20.869565217391305,4.171934260429835,0.18181818181818182
"[170.0, 175.0]",0,137,0.0,4.3299620733249045,0.0
"[175.0, 180.0]",3,139,2.608695652173913,4.393173198482933,0.02158273381294964
"[180.0, 190.0]",7,242,6.086956521739131,7.648546144121365,0.028925619834710745
"[190.0, 197.5]",4,166,3.4782608695652173,5.246523388116309,0.024096385542168676
"[197.5, 206.2]",4,160,3.4782608695652173,5.056890012642225,0.025
"[206.2, 220.0]",1,144,0.8695652173913043,4.551201011378002,0.006944444444444444
"[220.0, 232.0]",9,173,7.82608695652174,5.467762326169406,0.05202312138728324
"[232.0, 250.0]",0,156,0.0,4.9304677623261695,0.0
"[250.0, 99999.0]",0,173,0.0,5.467762326169406,0.0
