Feature,Low_PIR_Mean,High_PIR_Mean,Difference,p_value
MPQ_MPQ070,1.2771084337349397,1.59375,0.31664156626506035,0.0013876125588400063
DEMO_RIDAGEMN,358.33734939759034,389.8125,31.475150602409656,0.008600198827832849
BIX_BIDFAT,24.277108433734938,31.38125,7.1041415662650635,0.011960655885591214
MCQ_MCQ250F,1.3855421686746987,1.1875,-0.1980421686746987,0.043437209850384934
DEMO_DMDHHSIZ,3.1686746987951806,2.75,-0.4186746987951806,0.12901855614011432
BPX_BPXDAR,68.43373493975903,69.9375,1.5037650602409656,0.19917099143604347
ALQ_ALQ130,3.1204819277108435,3.625,0.5045180722891565,0.22499418477309988
BMX_BMXBMI,26.952048192771084,28.066562499999996,1.1145143072289123,0.3316825574225065
DEMO_RIAGENDR,1.819277108433735,1.75,-0.06927710843373491,0.40966641351800115
DEMO_DMDMARTL,2.891566265060241,2.875,-0.016566265060240948,0.9610849388278637
