Feature,Before_N,After_N,Lost,Lost_Pct,Before_Mean,After_Mean,Mean_Change,Before_Std,After_Std
BIX_BIDFAT,4680,3144,1536,32.82051282051282,23.930149572649572,22.837659033078882,-1.09249053957069,11.850144629495695,11.00993507850348
DEMO_INDFMPIR,6158,3144,3014,48.94446248782072,2.800474179928548,2.8756361323155217,0.07516195238697376,1.6691225203330144,1.6116386002954433
DEMO_RIDAGEMN,6581,3144,3437,52.22610545509801,354.5218051967786,352.95483460559797,-1.5669705911806204,69.70663899444489,69.9133994252171
DEMO_RIAGENDR,6581,3144,3437,52.22610545509801,1.5508281416198146,1.463740458015267,-0.08708768360454755,0.49744758649657994,0.49876283857374365
BPX_BPXDAR,6152,3144,3008,48.89466840052016,68.78088426527958,69.08492366412214,0.30403939884256204,12.014288842827693,11.194322759184917
DEMO_DMDHHSIZ,6581,3144,3437,52.22610545509801,3.395380641239933,3.2216921119592876,-0.17368852928064538,1.5917349011904385,1.5501460522533663
BMX_BMXBMI,6348,3144,3204,50.4725897920605,27.802692186515436,26.677430025445293,-1.1252621610701432,7.098571703415996,5.7056777331637125
ALQ_ALQ130,4664,3144,1520,32.59005145797599,3.3021012006861064,3.143765903307888,-0.15833529737821816,3.933866205885246,2.441489521237278
MCQ_MCQ250F,6581,3144,3437,52.22610545509801,1.6014283543534418,1.5922391857506362,-0.009189168602805609,0.4896414191755026,0.4914964572219836
MPQ_MPQ070,6581,3144,3437,52.22610545509801,1.5988451603099834,1.6272264631043256,0.028381302794342256,0.49016950470858006,0.48361949804144966
DEMO_DMDMARTL,6405,3144,3261,50.91334894613583,3.156752537080406,3.3520992366412212,0.1953466995608153,2.0203763870328,1.9940434800341436
