Metric,Value
Accuracy,0.9914634146341463
Precision,0.84375
Recall,0.9310344827586207
F1-Score,0.8852459016393444
ROC-AUC,0.9855268320327827
Extreme_Predictions_Pct,99.63414634146342
Borderline_Pct,0.3658536585365854
