Method,Silhouette_Score,Davies_Bouldin_Index,Centroid_Distance,Within_Class_Variance,Between_Class_Variance,Separation_Ratio
UMAP,-0.012004813599952742,5.177356862522203,0.6154656661451867,1.7156535504962789,0.012819147461352853,0.007471874177420447
t-SNE,-0.05154106393456459,4.406775978302498,29.422510147094727,2629.48779296875,29.296178523706715,0.011141401227282625
